GO.ID	term	gProfiler.p_value	clustProfiler.p_value	topGO.p_value	significant_count	included_count
GO:1902806	regulation of cell cycle G1/S phase transition	2.384488853380178e-9	NA	NA	1	1
GO:0002768	immune response-regulating cell surface receptor signaling pathway	2.387915588987706e-9	7.568620486844339e-4	NA	2	2
GO:0051249	regulation of lymphocyte activation	2.4364997286774927e-9	6.196130215887401e-5	1	3	3
GO:1903313	positive regulation of mRNA metabolic process	2.533222661716128e-9	NA	NA	1	1
GO:0002262	myeloid cell homeostasis	2.610540983430839e-9	NA	0.03816	2	2
GO:0002831	regulation of response to biotic stimulus	2.762273005754954e-9	1.292257030003222e-5	NA	2	2
GO:0006606	protein import into nucleus	2.773592359725476e-9	6.447221066924778e-5	3.1e-8	3	3
GO:1902903	regulation of supramolecular fiber organization	3.2236842984861142e-9	NA	NA	1	1
GO:0032204	regulation of telomere maintenance	3.359206068420536e-9	NA	0.01162	2	2
GO:0061014	positive regulation of mRNA catabolic process	3.359206068420536e-9	NA	NA	1	1
GO:0040029	epigenetic regulation of gene expression	3.440900292943186e-9	0.00150798522375485	0.08914	3	3
GO:0090304	nucleic acid metabolic process	3.573523546482246e-9	NA	0.35529	2	2
GO:0019079	viral genome replication	3.727058591019138e-9	NA	0.07342	2	2
GO:0045088	regulation of innate immune response	4.062175568954449e-9	1.2338744801559914e-5	0.46179	3	3
GO:0050684	regulation of mRNA processing	4.165916664480176e-9	NA	0.0024	2	2
GO:0006302	double-strand break repair	4.374571092423907e-9	NA	0.0654	2	2
GO:0031398	positive regulation of protein ubiquitination	4.377338196337026e-9	NA	NA	1	1
GO:0045727	positive regulation of translation	4.511565558360815e-9	NA	4.1e-6	2	2
GO:0070936	protein K48-linked ubiquitination	5.732978753357958e-9	NA	3.1e-11	2	2
GO:0018193	peptidyl-amino acid modification	5.892848414930585e-9	NA	1	2	2
GO:1901652	response to peptide	9.491982146006532e-9	2.3153874018126076e-5	0.52738	3	3
GO:0001817	regulation of cytokine production	9.790566354456444e-9	8.227794128529243e-5	0.10473	3	3
GO:2001233	regulation of apoptotic signaling pathway	1.0011548330480211e-8	NA	NA	1	1
GO:0140694	non-membrane-bounded organelle assembly	1.0338221828801404e-8	8.51179753587629e-4	0.04077	3	3
GO:0042326	negative regulation of phosphorylation	1.3151924254248814e-8	NA	0.46477	2	2
GO:0051028	mRNA transport	1.3234704800655192e-8	NA	9.4e-7	2	2
GO:0032956	regulation of actin cytoskeleton organization	1.3296797709513022e-8	NA	NA	1	1
GO:0002429	immune response-activating cell surface receptor signaling pathway	1.3764627006454682e-8	6.160549176942997e-4	NA	2	2
GO:1902115	regulation of organelle assembly	1.5294656326905648e-8	NA	0.05444	2	2
GO:0006470	protein dephosphorylation	1.6809535853425214e-8	NA	0.04706	2	2
GO:0032868	response to insulin	1.89881473924628e-8	NA	0.01359	2	2
GO:0016050	vesicle organization	1.9723991173407125e-8	NA	0.73157	2	2
GO:1905897	regulation of response to endoplasmic reticulum stress	2.0239567541274272e-8	NA	NA	1	1
GO:0001816	cytokine production	2.1309897148205977e-8	7.781675051766882e-5	1	3	3
GO:0048468	cell development	2.1926759728262035e-8	NA	0.21613	2	2
GO:0034502	protein localization to chromosome	2.1997459271244337e-8	NA	0.32312	2	2
GO:0061157	mRNA destabilization	2.2462559973453e-8	NA	0.18955	2	2
GO:0019220	regulation of phosphate metabolic process	2.31893445361462e-8	NA	NA	1	1
GO:0051604	protein maturation	2.5088493131508953e-8	NA	0.65728	2	2
GO:1901701	cellular response to oxygen-containing compound	2.5280821737868723e-8	NA	NA	1	1
GO:2000045	regulation of G1/S transition of mitotic cell cycle	2.5993227082474585e-8	NA	NA	1	1
GO:0050779	RNA destabilization	2.6486056266718242e-8	NA	0.48976	2	2
GO:0045814	negative regulation of gene expression, epigenetic	2.703316196750934e-8	NA	NA	1	1
GO:0006457	protein folding	2.7544077106837258e-8	NA	0.00359	2	2
GO:0051174	regulation of phosphorus metabolic process	2.7571097642895228e-8	NA	NA	1	1
GO:0034620	cellular response to unfolded protein	2.9180390001519047e-8	NA	0.3673	2	2
GO:0000082	G1/S transition of mitotic cell cycle	3.0281407219307695e-8	NA	0.03927	2	2
GO:0065008	regulation of biological quality	3.345263731434515e-8	NA	1	2	2
GO:1990928	response to amino acid starvation	3.522222600545486e-8	NA	0.055	2	2
GO:0110053	regulation of actin filament organization	3.673072275148913e-8	NA	NA	1	1
GO:0062197	cellular response to chemical stress	3.8402053111774675e-8	NA	0.07179	2	2
GO:1905037	autophagosome organization	4.0699334839324054e-8	NA	0.15662	2	2
GO:0006282	regulation of DNA repair	4.499073699649675e-8	NA	0.00685	2	2
GO:0030155	regulation of cell adhesion	4.7083766897409714e-8	4.496907212315508e-4	0.45398	3	3
GO:0030968	endoplasmic reticulum unfolded protein response	5.016585710088982e-8	NA	NA	1	1
GO:0065004	protein-DNA complex assembly	6.145831565433202e-8	NA	0.73246	2	2
GO:0051251	positive regulation of lymphocyte activation	6.197325176733804e-8	4.123198985974401e-5	NA	2	2
GO:0007275	multicellular organism development	6.359670957129638e-8	NA	0.92783	2	2
GO:0051348	negative regulation of transferase activity	7.444589771639973e-8	NA	NA	1	1
GO:0006979	response to oxidative stress	7.669234744761743e-8	NA	0.01724	2	2
GO:0006446	regulation of translational initiation	7.927767746767882e-8	NA	6.3e-8	2	2
GO:0051098	regulation of binding	8.204380901183429e-8	NA	0.37941	2	2
GO:0042147	retrograde transport, endosome to Golgi	8.360904943294679e-8	NA	2.7e-7	2	2
GO:1903052	positive regulation of proteolysis involved in protein catabolic process	8.54345734708188e-8	NA	NA	1	1
GO:0006997	nucleus organization	8.558184479188437e-8	NA	0.12469	2	2
GO:1901699	cellular response to nitrogen compound	9.579473893845145e-8	NA	1	2	2
GO:0051345	positive regulation of hydrolase activity	9.750456321294162e-8	NA	NA	1	1
GO:0051258	protein polymerization	1.0270601226580485e-7	NA	0.29383	2	2
GO:2000060	positive regulation of ubiquitin-dependent protein catabolic process	1.086174386985497e-7	NA	NA	1	1
GO:0032870	cellular response to hormone stimulus	1.1095039965763205e-7	1.1635809871183726e-4	0.99973	3	3
GO:0051607	defense response to virus	1.3485126241434352e-7	NA	3.8e-5	2	2
GO:0002218	activation of innate immune response	1.35165690081541e-7	3.0490061930027164e-4	1.5e-4	3	3
GO:0006368	transcription elongation by RNA polymerase II	1.3761779285943718e-7	NA	NA	1	1
GO:0032386	regulation of intracellular transport	1.397970928266705e-7	2.7280641611599155e-4	0.96437	3	3
GO:0002694	regulation of leukocyte activation	1.4717305131253717e-7	6.414596483806473e-5	1	3	3
GO:0034101	erythrocyte homeostasis	1.5146443351076025e-7	NA	0.20364	2	2
GO:0045580	regulation of T cell differentiation	1.5755848556183502e-7	0.00127537896295124	0.18404	3	3
GO:0072331	signal transduction by p53 class mediator	1.5755848556183502e-7	NA	NA	1	1
GO:0006900	vesicle budding from membrane	1.5821323237728966e-7	NA	0.07386	2	2
GO:0060284	regulation of cell development	1.64807436014985e-7	2.2099883054581623e-4	1	3	3
GO:0007034	vacuolar transport	1.8843723631588865e-7	NA	0.85171	2	2
GO:0070925	organelle assembly	2.2442869939338018e-7	9.742243262120128e-4	0.62176	3	3
GO:0050863	regulation of T cell activation	2.2660587603470989e-7	1.7851717680213346e-5	0.48733	3	3
GO:0030029	actin filament-based process	2.305643339308063e-7	NA	0.61305	2	2
GO:0000045	autophagosome assembly	2.385190519326516e-7	NA	1.3e-6	2	2
GO:0045089	positive regulation of innate immune response	2.4471874856742096e-7	6.390595881120715e-5	NA	2	2
GO:0034249	negative regulation of amide metabolic process	2.462439749918745e-7	NA	NA	1	1
GO:0045595	regulation of cell differentiation	2.5465978347085634e-7	NA	0.05794	2	2
GO:1902105	regulation of leukocyte differentiation	2.737869490236138e-7	5.378742400715145e-4	1	3	3
GO:1903039	positive regulation of leukocyte cell-cell adhesion	2.7387870966399256e-7	1.049141081089436e-4	NA	2	2
GO:0001933	negative regulation of protein phosphorylation	2.7387870966399256e-7	NA	NA	1	1
GO:0043068	positive regulation of programmed cell death	3.606536450095317e-7	NA	NA	1	1
GO:0034198	cellular response to amino acid starvation	3.934955138214157e-7	NA	NA	1	1
GO:0007010	cytoskeleton organization	4.1975868512729226e-7	NA	0.6157	2	2
GO:2001252	positive regulation of chromosome organization	4.25472737574545e-7	1.804726899892882e-4	NA	2	2
GO:0032869	cellular response to insulin stimulus	4.264295801816757e-7	NA	0.00904	2	2
GO:0045619	regulation of lymphocyte differentiation	4.709241627814223e-7	NA	0.1438	2	2
GO:0009725	response to hormone	4.808063442479661e-7	3.980754544200016e-5	0.22405	3	3
GO:0045786	negative regulation of cell cycle	4.995534891247462e-7	NA	0.20753	2	2
GO:0006405	RNA export from nucleus	5.070468341857423e-7	NA	0.04143	2	2
GO:0007051	spindle organization	5.879651983470522e-7	NA	0.12443	2	2
GO:0002520	immune system development	6.550013601486863e-7	NA	0.32249	2	2
GO:0044089	positive regulation of cellular component biogenesis	6.904248565529054e-7	NA	NA	1	1
GO:0015931	nucleobase-containing compound transport	6.957162243302804e-7	NA	1	2	2
GO:0032784	regulation of DNA-templated transcription elongation	7.086240511015699e-7	NA	NA	1	1
GO:0046631	alpha-beta T cell activation	7.218001465787979e-7	NA	0.1563	2	2
GO:0010833	telomere maintenance via telomere lengthening	7.620978732184557e-7	NA	NA	1	1
GO:0007015	actin filament organization	7.713951184829274e-7	NA	0.29629	2	2
GO:1901796	regulation of signal transduction by p53 class mediator	7.805044660573454e-7	NA	NA	1	1
GO:0032970	regulation of actin filament-based process	8.032497219836749e-7	NA	NA	1	1
GO:0006334	nucleosome assembly	8.287173059919515e-7	9.981300574308316e-4	2.3e-11	3	3
GO:0030218	erythrocyte differentiation	8.385792507052261e-7	NA	0.00555	2	2
GO:0032271	regulation of protein polymerization	9.451987991867614e-7	NA	1	2	2
GO:0071840	cellular component organization or biogenesis	9.798822063026624e-7	NA	NA	1	1
GO:0006310	DNA recombination	1.07063803641174e-6	6.34786096023173e-4	0.13041	3	3
GO:0010508	positive regulation of autophagy	1.1739319977109446e-6	NA	0.00595	2	2
GO:0071417	cellular response to organonitrogen compound	1.1768200993899e-6	NA	NA	1	1
GO:0070201	regulation of establishment of protein localization	1.195300148945293e-6	NA	NA	1	1
GO:0038202	TORC1 signaling	1.2132727446631924e-6	NA	0.0142	2	2
GO:1901653	cellular response to peptide	1.2903543632462036e-6	NA	0.01204	2	2
GO:0006892	post-Golgi vesicle-mediated transport	1.3923807309987317e-6	NA	0.04223	2	2
GO:0050792	regulation of viral process	1.418232573000766e-6	1.384662648210273e-5	0.37962	3	3
GO:0051090	regulation of DNA-binding transcription factor activity	1.4245418487251774e-6	NA	NA	1	1
GO:0048024	regulation of mRNA splicing, via spliceosome	1.476214828123882e-6	NA	NA	1	1
GO:0017148	negative regulation of translation	1.4975733213837912e-6	NA	9.2e-5	2	2
GO:0008286	insulin receptor signaling pathway	1.520817344516496e-6	NA	1.1e-4	2	2
GO:0051056	regulation of small GTPase mediated signal transduction	1.5386496386548431e-6	7.214676073340642e-4	NA	2	2
GO:0034599	cellular response to oxidative stress	1.5771814025942914e-6	NA	8e-4	2	2
GO:0043434	response to peptide hormone	1.668771263454483e-6	NA	0.16887	2	2
GO:1901988	negative regulation of cell cycle phase transition	1.8696348023250007e-6	NA	NA	1	1
GO:0042592	homeostatic process	1.894663531954879e-6	NA	0.35185	2	2
GO:0043087	regulation of GTPase activity	1.9067517174590971e-6	NA	0.00362	2	2
GO:0002696	positive regulation of leukocyte activation	1.9139385917221955e-6	7.531930648274279e-5	NA	2	2
GO:0043549	regulation of kinase activity	1.9846253359528813e-6	NA	0.62491	2	2
GO:0098876	vesicle-mediated transport to the plasma membrane	1.987679759310146e-6	NA	NA	1	1
GO:0042325	regulation of phosphorylation	2.4193453161359275e-6	NA	0.55881	2	2
GO:0031668	cellular response to extracellular stimulus	2.4249950874054634e-6	NA	NA	1	1
GO:0043065	positive regulation of apoptotic process	2.5002973972291014e-6	NA	0.00605	2	2
GO:0007159	leukocyte cell-cell adhesion	2.5730185661720607e-6	1.86258072355414e-5	0.83288	3	3
GO:1901800	positive regulation of proteasomal protein catabolic process	2.6604678452175976e-6	NA	NA	1	1
GO:0006091	generation of precursor metabolites and energy	2.9174431397774027e-6	NA	NA	1	1
GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	2.9848301122939113e-6	NA	NA	1	1
GO:0019637	organophosphate metabolic process	3.2047308511850625e-6	NA	1	2	2
GO:0043123	positive regulation of canonical NF-kappaB signal transduction	3.2081005295759366e-6	NA	NA	1	1
GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	3.291127295176702e-6	NA	NA	1	1
GO:1903037	regulation of leukocyte cell-cell adhesion	3.3156538808520337e-6	3.423620695976017e-5	NA	2	2
GO:0007004	telomere maintenance via telomerase	3.396358262928556e-6	NA	0.00512	2	2
GO:0009607	response to biotic stimulus	3.680803527701504e-6	NA	1	2	2
GO:0006278	RNA-templated DNA biosynthetic process	3.816517007101592e-6	NA	0.61594	2	2
GO:0031929	TOR signaling	3.866367915390361e-6	NA	0.07623	2	2
GO:0050896	response to stimulus	3.913649292024993e-6	NA	1	2	2
GO:0035304	regulation of protein dephosphorylation	4.240049296930692e-6	NA	NA	1	1
GO:0050870	positive regulation of T cell activation	4.359168634551515e-6	7.523904023416347e-5	0.22058	3	3
GO:0032606	type I interferon production	4.688608386750522e-6	NA	1	2	2
GO:0032479	regulation of type I interferon production	4.688608386750522e-6	NA	NA	1	1
GO:0031347	regulation of defense response	4.946553366944517e-6	1.9001369048101865e-5	1	3	3
GO:0007030	Golgi organization	5.214470206506743e-6	NA	2.2e-5	2	2
GO:0005996	monosaccharide metabolic process	5.768344118748171e-6	NA	1	2	2
GO:1903708	positive regulation of hemopoiesis	5.774965725084691e-6	NA	1	2	2
GO:1902107	positive regulation of leukocyte differentiation	5.774965725084691e-6	NA	NA	1	1
GO:1901137	carbohydrate derivative biosynthetic process	6.420946950132314e-6	NA	NA	1	1
GO:0098781	ncRNA transcription	6.460199316737992e-6	NA	NA	1	1
GO:0032206	positive regulation of telomere maintenance	6.736914307793449e-6	NA	NA	1	1
GO:1901991	negative regulation of mitotic cell cycle phase transition	6.8243686384848e-6	NA	NA	1	1
GO:0050865	regulation of cell activation	7.005320983060246e-6	1.047879606984304e-4	1	3	3
GO:0000423	mitophagy	7.057826440721725e-6	NA	0.00141	2	2
GO:0043393	regulation of protein binding	7.061394689841493e-6	NA	0.07834	2	2
GO:0070585	protein localization to mitochondrion	7.924096448572123e-6	NA	0.14397	2	2
GO:2000278	regulation of DNA biosynthetic process	8.381963814459708e-6	NA	0.0791	2	2
GO:0016311	dephosphorylation	8.604607085325156e-6	NA	0.97312	2	2
GO:0001701	in utero embryonic development	8.879478578728233e-6	NA	1.4e-5	2	2
GO:0006414	translational elongation	9.765401919552638e-6	NA	0.04127	2	2
GO:2001242	regulation of intrinsic apoptotic signaling pathway	1.036042803005337e-5	NA	NA	1	1
GO:0032535	regulation of cellular component size	1.0389208378717068e-5	NA	1	2	2
GO:0051129	negative regulation of cellular component organization	1.0762205084957798e-5	NA	NA	1	1
GO:0071407	cellular response to organic cyclic compound	1.1071609832051828e-5	NA	NA	1	1
GO:0031401	positive regulation of protein modification process	1.113128604550222e-5	NA	NA	1	1
GO:0033673	negative regulation of kinase activity	1.1994520766060777e-5	NA	0.00792	2	2
GO:0007041	lysosomal transport	1.201467664632816e-5	NA	3.3e-4	2	2
GO:0000724	double-strand break repair via homologous recombination	1.2257994551452524e-5	NA	NA	1	1
GO:0042594	response to starvation	1.2258503553439969e-5	NA	0.24093	2	2
GO:1902533	positive regulation of intracellular signal transduction	1.2906521364581415e-5	NA	NA	1	1
GO:0051707	response to other organism	1.2955578534702225e-5	NA	0.31852	2	2
GO:0000910	cytokinesis	1.3061159521279062e-5	NA	1	2	2
GO:0071168	protein localization to chromatin	1.3527233322414287e-5	NA	0.00742	2	2
GO:1903432	regulation of TORC1 signaling	1.3770789778691509e-5	NA	0.15698	2	2
GO:0051648	vesicle localization	1.438924162424458e-5	NA	0.61488	2	2
GO:0010948	negative regulation of cell cycle process	1.468055834394874e-5	NA	NA	1	1
GO:0072659	protein localization to plasma membrane	1.476671748123557e-5	NA	0.00611	2	2
GO:0051091	positive regulation of DNA-binding transcription factor activity	1.4984811598026346e-5	NA	NA	1	1
GO:1901135	carbohydrate derivative metabolic process	1.5183620552412577e-5	NA	NA	1	1
GO:0031648	protein destabilization	1.5515086770921414e-5	7.056772960558658e-4	2.8e-8	3	3
GO:0061077	chaperone-mediated protein folding	1.6066556857950263e-5	NA	0.00145	2	2
GO:0000725	recombinational repair	1.6554715519071494e-5	NA	0.62656	2	2
GO:0050867	positive regulation of cell activation	1.728967576586733e-5	1.3801314575401344e-4	1	3	3
GO:0032502	developmental process	1.733148956753552e-5	NA	1	2	2
GO:0071897	DNA biosynthetic process	1.8268085487196493e-5	NA	0.95963	2	2
GO:0051650	establishment of vesicle localization	1.827380272350671e-5	NA	0.72842	2	2
GO:0032388	positive regulation of intracellular transport	1.8327083646029315e-5	3.6936230921537176e-4	NA	2	2
GO:0009267	cellular response to starvation	1.8584088864871503e-5	NA	0.09113	2	2
GO:0002833	positive regulation of response to biotic stimulus	1.8738807845073702e-5	8.157902806317423e-5	NA	2	2
GO:0043207	response to external biotic stimulus	1.881795257881049e-5	NA	1	2	2
GO:0045739	positive regulation of DNA repair	2.1012216651990864e-5	NA	0.02432	2	2
GO:0031669	cellular response to nutrient levels	2.153225724199437e-5	NA	0.07234	2	2
